2025-10-31 15:06:20,744 INFO    MainThread:68947 [wandb_setup.py:_flush():81] Current SDK version is 0.21.2
2025-10-31 15:06:20,745 INFO    MainThread:68947 [wandb_setup.py:_flush():81] Configure stats pid to 68947
2025-10-31 15:06:20,745 INFO    MainThread:68947 [wandb_setup.py:_flush():81] Loading settings from /jet/home/wzhang31/.config/wandb/settings
2025-10-31 15:06:20,745 INFO    MainThread:68947 [wandb_setup.py:_flush():81] Loading settings from /jet/home/wzhang31/hw5_student_starter_code/wandb/settings
2025-10-31 15:06:20,745 INFO    MainThread:68947 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-10-31 15:06:20,745 INFO    MainThread:68947 [wandb_init.py:setup_run_log_directory():686] Logging user logs to /jet/home/wzhang31/hw5_student_starter_code/wandb/run-20251031_150620-oroi51hq/logs/debug.log
2025-10-31 15:06:20,745 INFO    MainThread:68947 [wandb_init.py:setup_run_log_directory():687] Logging internal logs to /jet/home/wzhang31/hw5_student_starter_code/wandb/run-20251031_150620-oroi51hq/logs/debug-internal.log
2025-10-31 15:06:20,745 INFO    MainThread:68947 [wandb_init.py:init():813] calling init triggers
2025-10-31 15:06:20,745 INFO    MainThread:68947 [wandb_init.py:init():818] wandb.init called with sweep_config: {}
config: {'config': 'configs/ddpm.yaml', 'data_dir': './data', 'image_size': 128, 'batch_size': 32, 'num_workers': 4, 'num_classes': 100, 'run_name': 'exp-1-ddpm', 'output_dir': 'experiments', 'num_epochs': 20, 'learning_rate': 0.001, 'weight_decay': 0.01, 'grad_clip': 1.0, 'seed': 42, 'mixed_precision': 'none', 'num_train_timesteps': 1000, 'num_inference_steps': 250, 'beta_start': 0.0001, 'beta_end': 0.02, 'beta_schedule': 'linear', 'variance_type': 'fixed_small', 'prediction_type': 'epsilon', 'clip_sample': True, 'clip_sample_range': 1.0, 'unet_in_size': 128, 'unet_in_ch': 3, 'unet_ch': 128, 'unet_ch_mult': [1, 2, 2, 4], 'unet_attn': [2, 3], 'unet_num_res_blocks': 2, 'unet_dropout': 0.1, 'latent_ddpm': False, 'use_cfg': False, 'cfg_guidance_scale': 2.0, 'use_ddim': False, 'use_cifar10': True, 'ckpt': None, 'distributed': False, 'world_size': 1, 'rank': 0, 'local_rank': 0, 'device': 'cuda', 'total_batch_size': 32, 'max_train_steps': 31260, '_wandb': {}}
2025-10-31 15:06:20,745 INFO    MainThread:68947 [wandb_init.py:init():854] starting backend
2025-10-31 15:06:20,953 INFO    MainThread:68947 [wandb_init.py:init():857] sending inform_init request
2025-10-31 15:06:20,957 INFO    MainThread:68947 [wandb_init.py:init():865] backend started and connected
2025-10-31 15:06:20,958 INFO    MainThread:68947 [wandb_init.py:init():936] updated telemetry
2025-10-31 15:06:20,963 INFO    MainThread:68947 [wandb_init.py:init():960] communicating run to backend with 90.0 second timeout
2025-10-31 15:06:21,399 INFO    MainThread:68947 [wandb_init.py:init():1011] starting run threads in backend
2025-10-31 15:06:21,622 INFO    MainThread:68947 [wandb_run.py:_console_start():2494] atexit reg
2025-10-31 15:06:21,622 INFO    MainThread:68947 [wandb_run.py:_redirect():2342] redirect: wrap_raw
2025-10-31 15:06:21,623 INFO    MainThread:68947 [wandb_run.py:_redirect():2411] Wrapping output streams.
2025-10-31 15:06:21,623 INFO    MainThread:68947 [wandb_run.py:_redirect():2434] Redirects installed.
2025-10-31 15:06:21,626 INFO    MainThread:68947 [wandb_init.py:init():1057] run started, returning control to user process
2025-10-31 15:09:18,270 INFO    wandb-AsyncioManager-main:68947 [service_client.py:_forward_responses():84] Reached EOF.
2025-10-31 15:09:18,270 INFO    wandb-AsyncioManager-main:68947 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
